4;؋;Afghani;Afghan afghani;1925;2003;5;;
6;L;Lek;Albanian lek;1965;;;;
9;Kz;Kwanza;Angolan kwanza;1999-12-01;;;;
10;Kz;Kwanza;Angolan kwanza;1977-01-08;1990-09-24;11;1;
11;;New Kwanza;;1990-09-25;1995-06-30;12;1000;
12;;Kwanza reajustado;;1995-07-01;1999-11-30;9;1e+06;
13;;Austral;;1985-06-15;1991-12-31;16;;
14;;Peso ley;;1970-01-01;1983-05-05;15;;
15;;Peso argentino;;1983-06-06;1985-06-14;13;;
16;$;Peso;Argentine peso;1992;;;;
17;;Schilling;;1945;2002-02-28;;;
20;;Manat;;1992-08-15;2006-01-01;21;;
22;;Dinar;;1992-07-01;1998-02-04;23;;
26;;Franc;;1832;2002-02-28;;;
27;;Lev;;1962;1999-08-31;28;;
34;;Peso;Bolivian boliviano;1963-01-01;1987-01-01;33;;
35;;Cruzeiro;;1970;1986-02-28;36;;
36;;Cruzado;;1986-02-28;1989-01-15;39;;
37;;Cruzeiro;;1990-03-15;1993-08-01;40;;
39;;Cruzado Novo;;1989-01-16;1990-03-15;37;;
40;;Cruzeiro Real;;1993-08-01;1994-06-30;38;;
44;;Ruble;;1992;1999-12-31;46;;
46;;Ruble;;2000-01-01;2016-06-30;45;;
55;;Dinar;;2003-07-03;2006-06-19;178;;
56;;Koruna;;1919-04-10;1993-02-08;;;
60;;Pound;;1879;2006-01-01;;;
62;;Mark;;1948-06-21;1990-07-01;;;
63;;Mark;;1948;2002-02-28;;;
68;;Sucre;;1884;2000-02-29;222;;
69;;Kroon;;1992;2010-01-01;;;
72;;Peseta;;1869;2002-02-28;;;
74;€;Euro;European euro;1999-01-01;;;;"The name '"Euro'" was officially adopted on 16 December 1995 in Madrid. The euro was introduced to the financial markets as an accounting currency on 1 January 1999, replacing the former European Currency Unit (ECU) at a ratio of 1:1. Physical euro coins and banknotes entered into circulation on 1 January 2002, as the official currency of the Euro Zone original members, and by March 2002 it had completely replaced the former currencies.<br/>Central bank: <a href='"http://www.ecb.europa.eu'" target='"_blank'">European Central Bank</a><br/><a href='"https://en.wikipedia.org/wiki/Template:Historical_currencies_of_the_European_Union'" target='"_blank'">Conversion Rates</a> to the former national currencies."
75;;Markka;;1860;2002-02-28;;;
78;F;Franc;French franc;1960-01-01;2002-02-28;;;
79;£;Pound;Pound sterling;760;;;;
81;;Cedi;;1967;2007-07-01;82;;
85;;Syli;;1971;1985-12-31;86;;
87;;Ekwele;;1975;1985-12-31;234;;
88;;Drachma;;1954-05-01;2001-01-01;;;
90;;Peso;;1975;1997-05-31;236;;
94;;Dinar;;1991-12-23;1994-05-30;95;;
99;;Pound;;1938;2002-02-28;;;
100;;Lira;;1948;1980-02-20;101;;
101;;Shekel;;1980-02-24;1985-12-31;102;;
106;;Krona;;1922;1981-06-30;107;;
108;;Lira;;1861;2002-02-28;;;
121;;Kip;;1965;1979-12-31;122;;
127;;Litas;;1993;2015-01-01;;;
128;;Franc;;1944;2002-02-28;;;
129;;Lats;;1992;2013-01-01;;;
132;;Franc;;1921;1976;131;;
133;;Franc;;1960;1995-03-31;78;;
136;;Franc;;1963-07-01;2005-01-01;135;;
138;;Denar;;1992-04-27;1993-06-30;137;;
139;;Franc;;1962;1984-01-01;236;;
143;;Ouguiya;;1973-06-29;2018-01-01;144;;
145;;Lira;;1972-05-26;2006-01-01;;;
153;;Metical;;1980;2006-06-30;154;;
157;;Córdoba;;1988;1990-10-31;158;;
159;;Guilder;;1810;2002-02-28;;;
165;;Sol;;1863;1985-02-01;166;;
166;;Inti;;1985-02-01;1991-10-01;167;;
172;;Zloty;;1950-10-30;1994-12-31;171;;
173;;Escudo;;1911-05-22;2002-02-28;;;
175;;Riyal;;1973-05-19;;;;
176;;Leu;;1952-01-28;2005;177;;
178;;Dinar;;2006;;;;
180;;Ruble;;1992;1997-12-31;179;;
185;;Dinar;;1992-06-08;2007-01-10;186;;
187;;Pound;;1956;1992-06-08;185;;
191;;Tolar;;1991-10-08;2005-01-01;;;
192;;Koruna;;1993-02-08;2007-01-01;;;
194;;Lira;;1864;1992-08-31;108;;
197;;Guilder;;1942;2004;196;;
199;;Dobra;;1977;2018-04-01;200;;
201;;Ruble;;1961;1991-12-26;;;
206;;Ruble;;1995-05-10;2000-10-30;207;;
208;;Manat;;1993-11-01;2008-12-31;209;;
212;;Escudo;;1959;1976;222;;
213;;Lira;;1843;2005-12-31;214;;
219;;Karbovanets;;1992-10-01;1996-09-01;218;;
220;;Shilling;;1966;1987-12-31;221;;
223;;New Peso;;1975-07-01;1993-03-01;225;;
224;;Peso;;1896;1975-07-01;223;;
227;;Lira;;1929;1994-12-31;108;;
228;;Bolívar;;1879-03-31;2008-01-01;229;;
229;;Bolívar fuerte;;2008-01-01;2018-08-20;230;;
238;;Dinar;;1965;1996-06-11;;;
240;;Dinar;;1966-01-01;1989-12-31;;;
241;;Dinar;;1994-01-01;1994-01-23;;;
242;;Dinar;;1994-01-24;2003-07-02;;;
243;;Dinar;;1990-01-01;1992-06-30;;;
244;;Dinar;;1993-10-01;1993-12-31;;;
245;;Dinar;;1992-07-01;1993-09-30;;;
247;;Kwacha;;1968-01-16;2013-01-01;;;
249;;New Zaire;;1993;1997;;;
250;;Zaïre;;1967;1993;;;
251;$;Dollar;;1970-02-17;1980;;;
252;$;Dollar;;1980-04-18;2006-07-31;;;
253;$;Dollar;;2009-02-03;2009-04-12;;;
254;$;Dollar;;2006-08-01;2008-07-31;;;
120;;Tenge;;"";;;;
255;$;Dollar;;2008-08-01;2009-02-02;;;
3;د.إ;Dirham;United Arab Emirates dirham;"";;;;
5;؋;Afghani;Afghan afghani;"";;;;
7;֏;Dram;Armenian dram;"";;;;
8;ƒ;Guilder;Netherlands Antillean guilder;"";;;;
18;$;Dollar;Australian dollar;"";;;;
19;ƒ;Florin;Aruban florin;"";;;;
21;₼;Manat;Azerbaijani manat;"";;;;
23;KM;Convertible Mark;Bosnia and Herzegovina convertible mark;"";;;;
24;$;Dollar;Barbadian dollar;"";;;;
25;;Taka;Bangladeshi taka;"";;;;
28;;Lev;Bulgarian lev;"";;;;
29;;Dinar;Bahraini dinar;"";;;;
30;;Franc;Burundian franc;"";;;;
31;$;Dollar;Bermudian dollar;"";;;;
32;$;Dollar;Brunei dollar;"";;;;
33;;Boliviano;Bolivian boliviano;"";;;;
38;;Real;;"";;;;
41;$;Dollar;;"";;;;
42;;Ngultrum;;"";;;;
43;;Pula;;"";;;;
45;;New Ruble;;"";;;;
47;$;Dollar;;"";;;;
48;$;Dollar;;"";;;;
49;;Franc;;"";;;;
50;;Franc;;"";;;;
51;;Peso;;"";;;;
52;;Yuan;;"";;;;
53;;Peso;;"";;;;
54;;Colón;;"";;;;
57;;Convertible Peso;;"";;;;
58;;Peso;;"";;;;
59;;Escudo;;"";;;;
61;;Koruna;;"";;;;
64;;Franc;;"";;;;
65;;Krone;;"";;;;
66;;Peso;;"";;;;
67;;Dinar;Algerian dinar;"";;;;
70;;Pound;;"";;;;
71;;Nakfa;;"";;;;
73;;Birr;;"";;;;
76;$;Dollar;;"";;;;
77;£;Pound;;"";;;;
80;;Lari;;"";;;;
82;;Cedi;;"";;;;
83;£;Pound;;"";;;;
84;;Dalasi;;"";;;;
86;;Franc;;"";;;;
89;;Quetzal;;"";;;;
91;$;Dollar;;"";;;;
92;$;Dollar;;"";;;;
93;;Lempira;;"";;;;
95;;Kuna;;"";;;;
96;;Gourde;;"";;;;
97;;Forint;;"";;;;
98;;Rupiah;;"";;;;
102;;New Shekel;;"";;;;
103;₹;Rupee;;"";;;;
104;;Dinar;;"";;;;
105;;Rial;;"";;;;
107;;Krona;;"";;;;
109;$;Dollar;;"";;;;
110;;Dinar;;"";;;;
111;¥;Yen;;"";;;;
112;;Shilling;;"";;;;
113;;Som;;"";;;;
114;;Riel;;"";;;;
115;;Franc;;"";;;;
116;₩;Won;;"";;;;
117;₩;Won;;"";;;;
118;;Dinar;;"";;;;
119;$;Dollar;;"";;;;
122;;Kip;;"";;;;
123;;Pound;;"";;;;
124;;Rupee;;"";;;;
125;$;Dollar;;"";;;;
126;;Loti;;"";;;;
130;;Dinar;;"";;;;
131;;Dirham;;"";;;;
134;;Leu;;"";;;;
135;;Ariary;;"";;;;
137;;Denar;;"";;;;
140;;Kyat;;"";;;;
141;;Tögrög;;"";;;;
142;;Pataca;;"";;;;
144;;Ouguiya;;"";;;;
146;;Rupee;;"";;;;
147;;Rupee;;"";1981-12-31;148;;
148;;Rufiyaa;;"";;;;
149;;Kwacha;;"";;;;
150;;Peso;;"";;;;
151;;Peso;;"";1993-03-31;150;;
152;;Ringgit;;"";;;;
154;;Metical;;"";;;;
155;$;Dollar;;"";;;;
156;;Naira;;"";;;;
158;;Córdoba;;"";;;;
160;;Krone;;"";;;;
161;;Rupee;;"";;;;
162;$;Dollar;;"";;;;
163;;Rial;;"";;;;
164;;Balboa;;"";;;;
167;;Sol;;"";;;;
168;;Kina;;"";;;;
169;;Peso;;"";;;;
170;;Rupee;;"";;;;
171;;Zloty;;"";;;;
174;;Guaraní;;"";;;;
177;;Leu;;"";;;;
179;;Ruble;;"";;;;
181;;Franc;;"";;;;
182;;Riyal;;"";;;;
183;$;Dollar;;"";;;;
184;;Rupee;;"";;;;
186;;Pound;;"";;;;
188;;Krona;;"";;;;
189;$;Dollar;;"";;;;
190;;Pound;;"";;;;
193;;Leone;;"";;;;
195;;Shilling;;"";;;;
196;$;Dollar;;"";;;;
198;;Pound;;"";;;;
200;;Dobra;;"";;;;
202;;Colón;;"";;;;
203;;Pound;;"";;;;
204;;Lilangeni;;"";;;;
205;฿;Baht;;"";;;;
207;;Somoni;;"";;;;
209;;Manat;;"";;;;
210;;Dinar;;"";;;;
211;;PaNULLanga;;"";;;;
214;;Lira;;"";;;;
215;$;Dollar;;"";;;;
216;;New Dollar;;"";;;;
217;;Shilling;;"";;;;
218;;Hryvnia;;"";;;;
221;;Shilling;;"";;;;
222;$;Dollar;United States dollar;"";;;;
225;;Peso;;"";;;;
226;;Som;;"";;;;
230;;Bolívar soberano;;"";;;;
231;;Dong;;"";;;;
232;;Vatu;;"";;;;
233;;Tala;;"";;;;
234;;Central African CFA Franc;;"";;;;
235;;East Caribbean Dollar;;"";;;;
236;;West African CFA Franc;;"";;;;
237;;CFP Franc / Franc Pacifique;;"";;;;
239;;Rial;;"";;;;
246;;Rand;;"";;;;
248;;Kwacha;;"";;;;
256;;Apsar;;"";;;;
257;;Pound;;"";;;;
258;;Dram;;"";;;;
259;;Pound;;"";;;;
260;$;Dollar;;"";;;;
261;$;Dollar;;"";;;;
262;;Króna;;"";;;;
263;;Pound;;"";;;;
264;;Pound;;"";;;;
265;;Pound;;"";;;;
266;$;Dollar;;"";;;;
267;;Pound;;"";;;;
268;$;Dollar;;"";;;;
269;$;Dollar;;"";;;;
270;$;Dollar;;"";;;;
271;$;Dollar;;"";;;;
272;$;Dollar;;"";;;;
273;;Peseta;;"";;;;
274;;Shilling;;"";;;;
275;;Pound;;"";;;;
276;;Ruble;;"";;;;
277;;Pound;;"";;;;
278;$;Dollar;;"";;;;
